,mutual_info
Average Packet Size,0.7621767143269778
Packet Length Mean,0.7262139283219893
Packet Length Std,0.7122006037687165
Packet Length Variance,0.7102295325316628
Init_Win_bytes_forward,0.641086223408112
Subflow Bwd Bytes,0.630946968050923
Total Length of Bwd Packets,0.6309156661745707
Subflow Fwd Bytes,0.6294138687438058
Total Length of Fwd Packets,0.6292244958927145
Bwd Packet Length Mean,0.6266069160136853
Avg Bwd Segment Size,0.6265510590122108
Flow IAT Max,0.5914932242918742
Max Packet Length,0.588632230873027
Flow Duration,0.5861003866812804
Bwd Packet Length Max,0.5841461548511455
Flow Bytes/s,0.5780067823883897
Init_Win_bytes_backward,0.5725265648758766
Fwd Packet Length Max,0.5723621235409955
Destination Port,0.5652536869966511
Fwd IAT Max,0.5545674581851725
Flow IAT Mean,0.54574386195428
Fwd Packets/s,0.5373629981862742
Fwd IAT Total,0.5343067946150508
Fwd Packet Length Mean,0.5317741387430301
Avg Fwd Segment Size,0.5317296493128656
Flow Packets/s,0.5313855108646575
Fwd Header Length,0.5300261965469413
Fwd Header Length.1,0.5300214475194629
Fwd IAT Mean,0.5252577286269922
Bwd Packets/s,0.5173784861853834
Bwd Header Length,0.49610609805774275
Flow IAT Std,0.44580933296864167
Fwd Packet Length Std,0.40993888489678154
Bwd Packet Length Std,0.40628273970912687
Fwd IAT Std,0.4056179288804109
Bwd IAT Max,0.37573166592109275
service_HTTP,0.368823429535446
Bwd IAT Total,0.3568208665164605
Subflow Bwd Packets,0.3525713832760078
Total Backward Packets,0.3522876775389592
Bwd IAT Mean,0.3451409387277671
Total Fwd Packets,0.3305497762688303
Subflow Fwd Packets,0.3297434739039007
Bwd Packet Length Min,0.29715952344112107
fwd_bwd_ratio,0.29029996641200095
port_category_well_known,0.28547036146443294
Bwd IAT Std,0.27398277908923796
min_seg_size_forward,0.27372582628124964
Fwd IAT Min,0.2655630777100315
Idle Max,0.25911594451787345
Idle Min,0.2569610241193383
Idle Mean,0.2553392883562595
Min Packet Length,0.23969768217279053
act_data_pkt_fwd,0.23930305591434609
Down/Up Ratio,0.23882072975878144
Active Mean,0.23868121482192017
Bwd IAT Min,0.23867792505677365
Active Max,0.23679946041338518
Fwd Packet Length Min,0.23607338695686186
Active Min,0.23518971643895625
Flow IAT Min,0.22950420367216218
service_Other,0.2193077434354025
duration_bucket_micro,0.21782212286783564
payload_category_tiny,0.20251562845171267
PSH Flag Count,0.1964490376273773
service_DNS,0.1950541261023504
payload_category_medium,0.16686759044329724
ACK Flag Count,0.14565580819966595
payload_category_small,0.1387504126038035
port_category_registered,0.13863254483600373
service_HTTPS,0.1027044521874767
duration_bucket_long,0.10104030887582605
duration_bucket_short,0.05872612817344813
Idle Std,0.05287080229459051
payload_category_empty,0.05230737923577178
port_category_ephemeral,0.04551496090359364
URG Flag Count,0.04399824132660046
FIN Flag Count,0.04394830871482802
Active Std,0.027927865915273076
service_FTP,0.026828819648861302
SYN Flag Count,0.025703180473801268
Fwd PSH Flags,0.02519587213147778
duration_bucket_medium,0.023637424185074307
service_SSH,0.01936643324331877
payload_category_large,0.018984777162884825
service_HTTP-Alt,0.0052045050149716054
service_PostgreSQL,0.0004845246648312873
ECE Flag Count,0.0003652984729920483
service_MySQL,0.00028440098703108596
service_Telnet,0.00025239065360072033
service_POP3,0.00023422121701321963
CWE Flag Count,0.00019197586765340446
RST Flag Count,0.00012936480666669858
service_IMAPS,0.0
service_RDP,0.0
Fwd URG Flags,0.0
service_IMAP,0.0
syn_no_ack,0.0
service_SMTP,0.0
